x,wb43
99,0.01
101.79,0.13924
108.64,0.14664
114.46,0.15443
122.17,0.16263
130.4,0.1669
137.39,0.17576
146.64,0.1851
156.52,0.19494
164.9,0.20005
176.01,0.21068
185.43,0.22187
197.93,0.23366
211.26,0.23979
225.49,0.25253
237.57,0.26595
253.57,0.27292
267.15,0.29496
285.15,0.31063
304.36,0.31878
320.65,0.33572
342.26,0.35356
365.31,0.36283
384.87,0.38211
410.8,0.4024
438.48,0.4238
461.96,0.4463
493.08,0.458
526.3,0.4823
554.48,0.508
591.83,0.535
631.7,0.549
665.53,0.5782
710.36,0.6089
758.22,0.6412
798.8,0.6581
852.6,0.693
910.1,0.7298
958.8,0.7686
1023.4,0.8095
1092.3,0.8307
1150.8,0.8748
1228.4,0.9213
1294.1,0.9703
1381.3,0.9957
1474.4,1.0486
1553.3,1.1043
1658,1.163
1769.7,1.1935
1864.4,1.2569
1990,1.3237
2124.1,1.3584
2237.8,1.4681
2388.6,1.5066
2549.5,1.5866
2686,1.6709
2867,1.7597
3060.1,1.8059
3224,1.9018
3441.2,2.0029
3673,2.1093
3869.7,2.2214
4130.4,2.2796
4408.6,2.4007
4644.7,2.5283
4957.6,2.6626
5291.6,2.7325
5574.9,2.8777
5950.5,3.0305
6351.4,3.11
6779.2,3.1101
7235.9,3.1101
7723,3.1101
8244,3.1102
8799,3.1102
9392,3.1102
9895,2.9534
10561,2.8044
11126,2.663
11722,2.5287
12512,2.4012
13182,2.2218
13887,2.1098
14823,2.0034
15616,1.9024
16452,1.8064
17561,1.6715
18501,1.5872
19491,1.5071
20535,1.4311
21918,1.359
23091,1.2904
24327,1.2253
25966,1.1636
27356,1.0766
28821,1.0223
30762,0.9962
31989,0.9218
33702,0.853
35972,0.81
37898,0.7691
40451,0.7303
42616,0.6758
44898,0.6417
47922,0.6093
49668,0.0101
